serial,name
FP231FTF23045214,CCHS-Athletic Restroom
FP231FTF23048500,Bus Garage Office
FP231FTF23048672,CCHS-Baseball-Indoor
FP231FTF23048683,CCHS-FBallConcession-Indoor
FP231FTF23048707,Bus Garage Bay
FP231FTF23048710,CCCDC-BARN-NORTH
FP231FTF23048754,Transportation Office
FP231FTF23048873,CCCDC-BARN-SOUTH
FP231FTF23048916,Maintenance-Indoor
FP231FTF23049304,CCHS-Softball-Indoor
FP231FTF23049336,Transportation Meeting Room
FP231FTF23049348,CCHS-HeadHouse
FP231FTF23050122,CCHS-Football-Indoor
FP231GTF22001435,ATC-Front Hall
FP231GTF22001832,ATC-103
FP231GTF22001855,CCMS-207
FP231GTF22001871,Cartmell-103-OfficeBack
FP231GTF23007483,Cartmell-308
FP231GTF23036246,Winn-265
FP231GTF23036350,CCMS-103
FP231GTF23036365,CCMS-100
FP231GTF23036506,ATC-Back West
FP231GTF23036669,Cartmell-Upstairs Elevator Hall
FP231GTF23036713,ATC-Lobby
FP231GTF23036730,CCMS-LockerRmHall-South
FP231GTF23036735,ATC-Back Center
FP231GTF23036770,CCMS-104
FP231GTF23036771,Cartmell-105
FP231GTF23036773,Cartmell-DownstairsElevatorHall
FP231GTF23036786,Winn-23
FP231GTF23036835,ATC-CCR Center
FP231GTF23036922,ATC-Welding Shop
FP231GTF23036923,ATC-Auto Classroom
FP231GTF23036932,ATC-104
FP231GTF23037290,CCMS-B04
FP231GTF23037373,ATC-Welding CR
FP231GTF23037426,CCMS-B06
FP231GTF23037746,CCMS-105
FP231GTF23037808,CCCDC-311
FP231GTF23037921,Winn-29
FP231GTF23038824,CCHS-boys locker
FP231GTF23040646,CCHS-215
FP231GTF23041835,CCHS-217
FP231GTF23042375,Cartmell-507
FP231GTF23042434,CCHS-FoodSvcOffice
FP231GTF23042678,CCMS-GymHall-West
FP231GTF23042693,CCMS-GymHall-East
FP231GTF23042704,CCHS-kitchen
FP231GTF23042721,Cartmell-303
FP231GTF23042753,CCMS-Datacenter
FP231GTF23042778,CCMS-B09HW
FP231GTF23042880,CCMS-106
FP231GTF23042901,Cartmell-509
FP231GTF23042930,Cartmell-508
FP231GTF23043026,CCMS-ElevatorHallNear500
FP231GTF23043047,CCHS-ConcessionArea
FP231GTF23043063,CCMS-B08
FP231GTF23043079,Cartmell-302
FP231GTF23043093,CCHS-101
FP231GTF23043096,CCMS-B06HW
FP231GTF23043205,CCMS-ISS
FP231GTF23043285,Conditioning Ctr Weight Rm
FP231GTF23043296,CCMS-GymLobby
FP231GTF23043307,CCHS-107
FP231GTF23043328,Cartmell-301
FP231GTF23043387,CCMS-405
FP231GTF23043565,CCMS-617
FP231GTF23043577,CCMS-Tech Lounge
FP231GTF23043580,CCMS-402
FP231GTF23043589,CCMS-401
FP231GTF23043625,CCMS-200
FP231GTF23043657,CCMS-kitchen
FP231GTF23043758,CCHS-209
FP231GTF23044241,ATC-Office
FP231GTF23044616,CCHS-114 Band
FP231GTF23044945,CCMS-204
FP231GTF23048864,CCMS-208
FP231GTF23050940,Winn-7
FP231GTF23052750,CCMS-203
FP231GTF23053037,Cartmell-Stage
FP231GTF23054586,Cartmell-309
FP231GTF23059198,Winn-3
FP231GTF23059565,Cartmell-505
FP231GTF23059737,Cartmell-503
FP231GTF23059837,Cartmell-506
FP231GTF23060366,Cartmell-502
FP231GTF23060367,Cartmell-501
FP231GTF23062181,Winn-8
FP231GTF23063031,Cartmell-408
FP231GTF23063132,CCCDC-303
FP231GTF23063257,CCHS-Alt School-2
FP231GTF23063287,Cartmell-407
